timestamp,index,article,amplitude,offset,views,day_of_month,day_of_year,month,week_of_year,year,views_lag_1
2015-01-01,0,d8be3bfcd9b4404ba399bba605a0ef3f,1.6098411952386795,-0.9691122510565712,-1.6092399642142736,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.018867924528301886,0.0,0.0
2015-01-02,1,d8be3bfcd9b4404ba399bba605a0ef3f,1.608169338348921,-0.8721175992563515,-1.56758639578646,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.018867924528301886,0.0,-1.6092399642142736
2015-01-03,2,d8be3bfcd9b4404ba399bba605a0ef3f,1.6064974814591622,-0.7594775166674116,-0.165887478482708,0.0967741935483871,0.00821917808219178,0.08333333333333333,0.018867924528301886,0.0,-1.56758639578646
2015-01-04,3,d8be3bfcd9b4404ba399bba605a0ef3f,1.6048256245694037,-0.6339655759540683,0.0849689073488172,0.12903225806451613,0.010958904109589041,0.08333333333333333,0.018867924528301886,0.0,-0.165887478482708
2015-01-05,4,d8be3bfcd9b4404ba399bba605a0ef3f,1.603153767679645,-0.4986722976469788,0.1331536224245738,0.16129032258064516,0.0136986301369863,0.08333333333333333,0.03773584905660377,0.0,0.0849689073488172
2015-01-06,5,d8be3bfcd9b4404ba399bba605a0ef3f,1.6014819107898863,-0.3569290512706894,-0.7253768162926754,0.1935483870967742,0.01643835616438356,0.08333333333333333,0.03773584905660377,0.0,0.1331536224245738
2015-01-07,6,d8be3bfcd9b4404ba399bba605a0ef3f,1.599810053900128,-0.2122260259698486,-0.791554107421145,0.22580645161290322,0.019178082191780823,0.08333333333333333,0.03773584905660377,0.0,-0.7253768162926754
2015-01-08,7,d8be3bfcd9b4404ba399bba605a0ef3f,1.5981381970103692,-0.0681262904691445,-0.7375099686275566,0.25806451612903225,0.021917808219178082,0.08333333333333333,0.03773584905660377,0.0,-0.791554107421145
2015-01-09,8,d8be3bfcd9b4404ba399bba605a0ef3f,1.5964663401206105,0.0718219415037402,-0.7387604382519601,0.2903225806451613,0.024657534246575342,0.08333333333333333,0.03773584905660377,0.0,-0.7375099686275566
2015-01-10,9,d8be3bfcd9b4404ba399bba605a0ef3f,1.594794483230852,0.2041726800161066,0.6448845881583876,0.3225806451612903,0.0273972602739726,0.08333333333333333,0.03773584905660377,0.0,-0.7387604382519601
